id,species,sample_id,file,abundance
S101C123_Prevotella_sp900290275,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900290275,ERR1620286,../2_gapseq/1.1_gapseq_models/S101C123.batch2.xml,5.07
S1024C1900_UBA5446_sp900544295,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__UBA5446_sp900544295,ERR1620286,../2_gapseq/1.1_gapseq_models/S1024C1900.batch2.xml,11.51
S1025C461_Coprococcus_A_catus,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A_catus,ERR1620286,../2_gapseq/1.1_gapseq_models/S1025C461.batch2.xml,11.65
S107C2064_UMGS1441_unk_sp,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__UMGS1441;s__,ERR1620286,../2_gapseq/1.1_gapseq_models/S107C2064.batch2.xml,8.83
S1083C200_Klebsiella_pneumoniae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae,ERR1620286,../2_gapseq/1.1_gapseq_models/S1083C200.batch2.xml,3319.67
S1114C423_Prevotella_sp000436915,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp000436915,ERR1620286,../2_gapseq/1.1_gapseq_models/S1114C423.batch2.xml,21.36
S1128C749_Collinsella_unk_sp,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,ERR1620286,../2_gapseq/1.1_gapseq_models/S1128C749.batch2.xml,13.02
S113C967_Prevotella_sp900548745,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900548745,ERR1620286,../2_gapseq/1.1_gapseq_models/S113C967.batch2.xml,12.92
S114C345_Streptococcus_salivarius,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius,ERR1620286,../2_gapseq/1.1_gapseq_models/S114C345.batch1.xml,30.97
S117C198_Faecalimonas_umbilicata,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas_umbilicata,ERR1620286,../2_gapseq/1.1_gapseq_models/S117C198.batch1.xml,106.95
