id,species,sample_id,file,abundance,relative_abundance
S541C3158.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900557255,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S541C3158.batch2.xml,9883.0,22.1053
S276C106.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter_faecis,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S276C106.batch1.xml,8488.53,18.9863
S801C789.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_sp003471165,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S801C789.batch2.xml,5639.620000000003,12.6142
S292C240.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_sp900539945,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S292C240.batch2.xml,2001.8500000000008,4.4775
S951C743.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_sp003480185,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S951C743.batch2.xml,1579.9,3.5338
S255C374.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger_formicilis,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S255C374.batch2.xml,1486.5399999999995,3.3249
S975C400.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_dorei,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S975C400.batch2.xml,1435.9499999999998,3.2118
S478C49.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900313215,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S478C49.batch2.xml,1057.8300000000002,2.3661
S111C387.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_D,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S111C387.batch2.xml,980.73,2.1936
S269C115.batch2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I_ramulus_A,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S269C115.batch2.xml,889.1600000000001,1.9888
S18C615.batch2,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_thermophilus,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S18C615.batch2.xml,869.3400000000003,1.9445
S365C151.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes_hadrus,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S365C151.batch1.xml,806.6700000000001,1.8043
S347C11.batch1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter_lactaris,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S347C11.batch1.xml,728.9799999999998,1.6305
S3C1104.batch1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_hominis,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S3C1104.batch1.xml,697.8699999999999,1.5609
S1083C200.batch2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S1083C200.batch2.xml,670.9100000000002,1.5006
S74C75.batch1,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium_faecium,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S74C75.batch1.xml,571.63,1.2786
S41C1711.batch2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900546535,ERR1620330,MetaModels_SummerSchool/GEMs_gapseq/S41C1711.batch2.xml,532.34,1.1907
