metabolite,name,molecular_weight,C_number,N_number,sbo,metanetx.chemical,inchikey,seed.compound,hmdb,reactome,kegg.compound,chebi,bigg.metabolite,biocyc,reaction,sample_id
cpd00009_e0,Phosphate-e0,95.97930099999999,0,0,SBO:0000247,MNXM9,NBIIXXVUZAFLBC-UHFFFAOYSA-L,cpd00009,"['HMDB00973', 'HMDB01429', 'HMDB05947', 'HMDB02105', 'HMDB02142']","['R-ALL-109277', 'R-ALL-113548', 'R-ALL-113550', 'R-ALL-113551', 'R-ALL-29372', 'R-ALL-5228339', 'R-ALL-8851226', 'R-ALL-8851513']",C00009,CHEBI:43474,pi,"['META:CPD-16459', 'META:PHOSPHATE-GROUP', 'META:Pi']",EX_cpd00009_e0,ERR1620289_sub
cpd00027_e0,D-Glucose-e0,180.15588,6,0,SBO:0000247,MNXM41,WQZGKKKJIJFFOK-GASJEMHNSA-N,cpd00027,"['HMDB00122', 'HMDB06564']",,C00031,"['CHEBI:17634', 'CHEBI:12965', 'CHEBI:20999', 'CHEBI:4167']",glc__D,META:Glucopyranose,EX_cpd00027_e0,ERR1620289_sub
cpd00030_e0,Mn2+-e0,54.938049,0,0,SBO:0000247,MNXM2255,WAEMQWOKJMHJLA-UHFFFAOYSA-N,cpd00030,HMDB01333,"['R-ALL-1981162', 'R-ALL-29418']",C19610,"['CHEBI:29035', 'CHEBI:21435', 'CHEBI:25156', 'CHEBI:49749']",mn2,META:MN+2,EX_cpd00030_e0,ERR1620289_sub
cpd00034_e0,Zn2+-e0,65.409,0,0,SBO:0000247,MNXM149,PTFCDOFLOPIGGS-UHFFFAOYSA-N,cpd00034,HMDB01303,"['R-ALL-158417', 'R-ALL-216667', 'R-ALL-216785', 'R-ALL-29426', 'R-ALL-435350', 'R-ALL-437093', 'R-ALL-442320']",C00038,"['CHEBI:29105', 'CHEBI:10113', 'CHEBI:27368', 'CHEBI:49972', 'CHEBI:49982']","['HC02172', 'zn2']",META:ZN+2,EX_cpd00034_e0,ERR1620289_sub
cpd00048_e0,Sulfate-e0,96.0626,0,0,SBO:0000247,MNXM58,QAOWNCQODCNURD-UHFFFAOYSA-L,cpd00048,HMDB01448,"['R-ALL-1606845', 'R-ALL-1609649', 'R-ALL-1614584', 'R-ALL-174375', 'R-ALL-427648']",C00059,"['CHEBI:16189', 'CHEBI:15135', 'CHEBI:45687', 'CHEBI:9335', 'CHEBI:26836', 'CHEBI:45696', 'CHEBI:29199', 'CHEBI:45693']",so4,"['META:HSO4', 'META:SULFATE']",EX_cpd00048_e0,ERR1620289_sub
cpd00118_e0,Putrescine-e0,90.16736,4,2,SBO:0000247,MNXM118,KIDHWZJUCRJVML-UHFFFAOYSA-P,cpd00118,"['HMDB01414', 'HMDB60243']","['R-ALL-141350', 'R-ALL-29610']",C00134,"['CHEBI:17148', 'CHEBI:14972', 'CHEBI:26405', 'CHEBI:45092', 'CHEBI:8650', 'CHEBI:326268']",ptrc,META:PUTRESCINE,EX_cpd00118_e0,ERR1620289_sub
cpd00149_e0,Co2+-e0,58.9332,0,0,SBO:0000247,MNXM90960,XLJKHNWPARRRJB-UHFFFAOYSA-N,cpd00149,HMDB00608,,C00175,"['CHEBI:48828', 'CHEBI:23337', 'CHEBI:48827']",cobalt2,META:CO+2,EX_cpd00149_e0,ERR1620289_sub
cpd00154_e0,Xylose-e0,150.1299,5,0,SBO:0000247,MNXM348,SRBFZHDQGSBBOR-IOVATXLUSA-N,cpd00154,"['HMDB00098', 'HMDB03763']",R-ALL-2090063,C00181,"['CHEBI:53455', 'CHEBI:65327']",xyl__D,META:D-Xylopyranose,EX_cpd00154_e0,ERR1620289_sub
cpd00179_e0,Maltose-e0,342.29648000000003,12,0,SBO:0000247,MNXM165,GUBGYTABKSRVRQ-PICCSMPSSA-N,cpd00179,,"['R-ALL-188986', 'R-ALL-868706']","['C00208', 'C00897']","['CHEBI:17306', 'CHEBI:14568', 'CHEBI:25144', 'CHEBI:6668', 'CHEBI:18167', 'CHEBI:10300', 'CHEBI:12340', 'CHEBI:22463', 'CHEBI:43893']",malt,"['META:ALPHA-MALTOSE', 'META:MALTOSE']",EX_cpd00179_e0,ERR1620289_sub
cpd00224_e0,L-Arabinose-e0,150.1299,5,0,SBO:0000247,MNXM461,SRBFZHDQGSBBOR-HWQSCIPKSA-N,cpd00224,"['HMDB00646', 'HMDB00487']",,C00259,"['CHEBI:17535', 'CHEBI:21232', 'CHEBI:6181', 'CHEBI:30849', 'CHEBI:13076']",,META:L-arabinopyranose,EX_cpd00224_e0,ERR1620289_sub
