metabolite,sample_id,MES,name,molecular_weight,C_number,N_number,sbo,metanetx.chemical,inchikey,seed.compound,hmdb,reactome,kegg.compound,chebi,bigg.metabolite,biocyc,reaction
cpd00001_e0,ERR1620289_sub,2.6666666666666665,H2O-e0,18.01528,0,0,SBO:0000247,MNXM2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,cpd00001,"['HMDB01039', 'HMDB02111']","['R-ALL-109276', 'R-ALL-113518', 'R-ALL-113519', 'R-ALL-113521', 'R-ALL-141343', 'R-ALL-1605715', 'R-ALL-189422', 'R-ALL-2022884', 'R-ALL-29356', 'R-ALL-351603', 'R-ALL-5278291', 'R-ALL-5668574', 'R-ALL-5693747', 'R-ALL-8851517']","['C00001', 'C01328']",CHEBI:15377,h2o,META:WATER,EX_cpd00001_e0
cpd00003_e0,ERR1620289_sub,1.8181818181818181,NAD-e0,662.417162,21,7,SBO:0000247,MNXM8,BAWFJGJZGIEFAR-NNYOXOHSSA-M,cpd00003,HMDB00902,"['R-ALL-113526', 'R-ALL-192307', 'R-ALL-194653', 'R-ALL-29360', 'R-ALL-352330']",C00003,CHEBI:57540,nad,META:NAD,EX_cpd00003_e0
cpd00006_e0,ERR1620289_sub,1.7142857142857142,NADP-e0,740.381183,21,7,SBO:0000247,MNXM5,XJLXINKUBYWONI-NNYOXOHSSA-K,cpd00006,HMDB00217,"['R-ALL-113563', 'R-ALL-113564', 'R-ALL-194668', 'R-ALL-2000348', 'R-ALL-29366', 'R-ALL-351628', 'R-ALL-389556', 'R-ALL-5623650', 'R-ALL-6790191']",C00006,CHEBI:58349,nadp,META:NADP,EX_cpd00006_e0
cpd00007_e0,ERR1620289_sub,0.0,O2-e0,31.9988,0,0,SBO:0000247,MNXM4,MYMOFIZGZYHOMD-UHFFFAOYSA-N,cpd00007,HMDB01377,"['R-ALL-1131511', 'R-ALL-113533', 'R-ALL-113534', 'R-ALL-113535', 'R-ALL-113685', 'R-ALL-1236709', 'R-ALL-189461', 'R-ALL-29368', 'R-ALL-351593', 'R-ALL-352327', 'R-ALL-5668566']",C00007,CHEBI:15379,o2,META:OXYGEN-MOLECULE,EX_cpd00007_e0
cpd00009_e0,ERR1620289_sub,1.8461538461538463,Phosphate-e0,95.97930099999999,0,0,SBO:0000247,MNXM9,NBIIXXVUZAFLBC-UHFFFAOYSA-L,cpd00009,"['HMDB00973', 'HMDB01429', 'HMDB05947', 'HMDB02105', 'HMDB02142']","['R-ALL-109277', 'R-ALL-113548', 'R-ALL-113550', 'R-ALL-113551', 'R-ALL-29372', 'R-ALL-5228339', 'R-ALL-8851226', 'R-ALL-8851513']",C00009,CHEBI:43474,pi,"['META:CPD-16459', 'META:PHOSPHATE-GROUP', 'META:Pi']",EX_cpd00009_e0
cpd00010_e0,ERR1620289_sub,1.8666666666666667,CoA-e0,763.502363,21,7,SBO:0000247,MNXM12,RGJOEKWQDUBAIZ-IBOSZNHHSA-J,cpd00010,"['HMDB01423', 'HMDB62184']","['R-ALL-162743', 'R-ALL-1678675', 'R-ALL-193514', 'R-ALL-2485002', 'R-ALL-29374', 'R-ALL-76194', 'R-ALL-8939024']",C00010,CHEBI:57287,coa,"['META:CO-A', 'META:COA-GROUP']",EX_cpd00010_e0
cpd00011_e0,ERR1620289_sub,0.0,CO2-e0,44.0095,1,0,SBO:0000247,MNXM13,CURLTUGMZLYLDI-UHFFFAOYSA-N,cpd00011,HMDB01967,"['R-ALL-1132345', 'R-ALL-113528', 'R-ALL-1237009', 'R-ALL-159751', 'R-ALL-159942', 'R-ALL-189480', 'R-ALL-29376', 'R-ALL-389536', 'R-ALL-5668565']",C00011,CHEBI:16526,co2,META:CARBON-DIOXIDE,EX_cpd00011_e0
cpd00012_e0,ERR1620289_sub,1.8333333333333333,PPi-e0,174.951262,0,0,SBO:0000247,MNXM11,XPPKVPWEQAFLFU-UHFFFAOYSA-K,cpd00012,HMDB00250,"['R-ALL-111294', 'R-ALL-1132084', 'R-ALL-113541', 'R-ALL-113542', 'R-ALL-159450', 'R-ALL-2046049', 'R-ALL-389593', 'R-ALL-6806656', 'R-ALL-8878981', 'R-ALL-8938078']",C00013,CHEBI:33019,ppi,"['META:PPI', 'META:PYROPHOSPHATE-GROUP']",EX_cpd00012_e0
cpd00013_e0,ERR1620289_sub,1.8181818181818181,NH3-e0,18.03846,0,1,SBO:0000247,MNXM15,QGZKDVFQNNGYKY-UHFFFAOYSA-O,cpd00013,"['HMDB00051', 'HMDB41827']","['R-ALL-1132163', 'R-ALL-113561', 'R-ALL-140912', 'R-ALL-2022135', 'R-ALL-29382', 'R-ALL-31633', 'R-ALL-389843', 'R-ALL-5693978', 'R-ALL-76230']",C01342,CHEBI:28938,"['nh3', 'nh4']","['META:AMMONIA', 'META:AMMONIUM']",EX_cpd00013_e0
cpd00017_e0,ERR1620289_sub,1.9,S-Adenosyl-L-methionine-e0,399.44532000000004,15,6,SBO:0000247,MNXM16,MEFKEPWMEQBLKI-AIRLBKTGSA-O,cpd00017,"['HMDB01185', 'HMDB62709']","['R-ALL-2162265', 'R-ALL-353113', 'R-ALL-5279190', 'R-ALL-71284', 'R-ALL-77087']",C00019,"['CHEBI:15414', 'CHEBI:10786', 'CHEBI:10833', 'CHEBI:12742', 'CHEBI:12757', 'CHEBI:12760', 'CHEBI:22036', 'CHEBI:45607', 'CHEBI:527887', 'CHEBI:8946', 'CHEBI:33442', 'CHEBI:59789', 'CHEBI:67040']",amet,META:S-ADENOSYLMETHIONINE,EX_cpd00017_e0
cpd00023_e0,ERR1620289_sub,1.8888888888888888,L-Glutamate-e0,146.12132,5,1,SBO:0000247,MNXM89557,WHUUTDBJXJRKMK-VKHMYHEASA-M,cpd00023,"['HMDB00148', 'HMDB60475']","['R-ALL-113552', 'R-ALL-210382', 'R-ALL-29404', 'R-ALL-428614']","['C00025', 'C00302']","['CHEBI:14321', 'CHEBI:16015', 'CHEBI:21304', 'CHEBI:42825', 'CHEBI:6224', 'CHEBI:18237', 'CHEBI:24314', 'CHEBI:5431', 'CHEBI:29985', 'CHEBI:13107', 'CHEBI:21301', 'CHEBI:29987', 'CHEBI:29988', 'CHEBI:76051']",glu__L,"['META:GLT', 'META:Glutamates']",EX_cpd00023_e0
