taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00069_e0,-0.001571257994722249,0.0019664113893562703,cpd00069_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00367_e0,-0.0037560204888655055,0.0019664113893562703,cpd00367_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd01217_e0,-0.0018573264038844906,0.0019664113893562703,cpd01217_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00305_e0,-4.737397979018185e-05,0.0019664113893562703,cpd00305_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00013_e0,0.0013957723694020463,0.0019664113893562703,cpd00013_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00054_e0,-0.003319292499416092,0.0019664113893562703,cpd00054_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00041_e0,-0.0029123388506015232,0.0019664113893562703,cpd00041_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00448_e0,0.00037467089713890984,0.0019664113893562703,cpd00448_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00156_e0,-0.004821723006704898,0.0019664113893562703,cpd00156_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00084_e0,-0.0009961332380787886,0.0019664113893562703,cpd00084_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00029_e0,0.271948396653059,0.0019664113893562703,cpd00029_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00035_e0,-0.006018871832533274,0.0019664113893562703,cpd00035_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00076_e0,-0.00017183040810194404,0.0019664113893562703,cpd00076_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00118_e0,-9.47479595803637e-05,0.0019664113893562703,cpd00118_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00382_e0,-0.0006625437751879722,0.0019664113893562703,cpd00382_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00011_e0,0.30467358935786687,0.0019664113893562703,cpd00011_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00039_e0,-0.0039101534830492495,0.0019664113893562703,cpd00039_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00322_e0,-0.0043095590835409555,0.0019664113893562703,cpd00322_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00010_e0,-9.474795958039003e-05,0.0019664113893562703,cpd00010_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00063_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00063_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd10516_e0,-8.755765634052269e-05,0.0019664113893562703,cpd10516_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00051_e0,-0.0033704083703583977,0.0019664113893562703,cpd00051_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00033_e0,-0.006340755804850698,0.0019664113893562703,cpd00033_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd10515_e0,-0.00013493163613070454,0.0019664113893562703,cpd10515_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00058_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00058_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00034_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00034_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00030_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00030_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00107_e0,-0.006132698130852252,0.0019664113893562703,cpd00107_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00117_e0,-0.000627558724007692,0.0019664113893562703,cpd00117_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00309_e0,0.0018573264038844906,0.0019664113893562703,cpd00309_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00149_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00149_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00099_e0,-8.755765634052269e-05,0.0019664113893562703,cpd00099_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00060_e0,0.003278502089407382,0.0019664113893562703,cpd00060_e0,export
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00393_e0,-0.00014212193937054553,0.0019664113893562703,cpd00393_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00003_e0,-9.474795958038136e-05,0.0019664113893562703,cpd00003_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00130_e0,-0.1644373676821202,0.0019664113893562703,cpd00130_e0,import
S1058C1330_Selenomonas_A_sp900769615,ERR1620290_sub,1e-06,EX_cpd00036_e0,0.1637748239069323,0.0019664113893562703,cpd00036_e0,export
