reaction,global_id,metabolite,flux,metabolite_BIGG,Description_BIGG,MNXM_ID
EX_cpd00001_m,EX_cpd00001_e0,cpd00001,10,h2o_m,H2O,WATER
EX_cpd00007_m,EX_cpd00007_e0,cpd00007,0.001,o2_m,O2,MNXM735438
EX_cpd00009_m,EX_cpd00009_e0,cpd00009,0.1,pi_m,Phosphate,MNXM9
EX_cpd00016_m,EX_cpd00016_e0,cpd00016,0.00001,pydx5p_m,Pyridoxal 5'-phosphate,MNXM161
EX_cpd00017_m,EX_cpd00017_e0,cpd00017,0.1,amet_m,S-Adenosyl-L-methionine,MNXM1102072
EX_cpd00018_m,EX_cpd00018_e0,cpd00018,0.1,amp_m,AMP,MNXM728294
EX_cpd00023_m,EX_cpd00023_e0,cpd00023,0.018,glu_L_m,,
EX_cpd00027_m,EX_cpd00027_e0,cpd00027,0.00001,glc_m,secondary/obsolete/fantasy identifier,MNXM1137670
EX_cpd00028_m,EX_cpd00028_e0,cpd00028,0.1,pheme_m,Protoheme,MNXM249
EX_cpd00029_m,EX_cpd00029_e0,cpd00029,0.1,ac_m,Acetate,MNXM26
EX_cpd00030_m,EX_cpd00030_e0,cpd00030,0.1,mn2_m,Manganese,MNXM2255
EX_cpd00033_m,EX_cpd00033_e0,cpd00033,0.045,gly_m,Glycine,MNXM29
EX_cpd00034_m,EX_cpd00034_e0,cpd00034,0.1,zn2_m,Zinc,MNXM729215
EX_cpd00035_m,EX_cpd00035_e0,cpd00035,0.1,ala_L_m,,
EX_cpd00036_m,EX_cpd00036_e0,cpd00036,0.002002418,succ_m,Succinate,MNXM25
EX_cpd00039_m,EX_cpd00039_e0,cpd00039,0.015,lys_L_m,,
EX_cpd00041_m,EX_cpd00041_e0,cpd00041,0.0225,asp_L_m,,
EX_cpd00042_m,EX_cpd00042_e0,cpd00042,0.1,gthrd_m,Reduced glutathione,MNXM490899
EX_cpd00047_m,EX_cpd00047_e0,cpd00047,0.1,for_m,Formate,MNXM39
EX_cpd00048_m,EX_cpd00048_e0,cpd00048,0.1,so4_m,Sulfate,MNXM58
EX_cpd00051_m,EX_cpd00051_e0,cpd00051,0.015,arg_L_m,,
EX_cpd00053_m,EX_cpd00053_e0,cpd00053,0.018,gln_L_m,,
EX_cpd00054_m,EX_cpd00054_e0,cpd00054,0.1,ser_L_m,,
EX_cpd00055_m,EX_cpd00055_e0,cpd00055,0.1,fald_m,Formaldehyde,MNXM736417
EX_cpd00058_m,EX_cpd00058_e0,cpd00058,0.1,cu2_m,Copper,MNXM731166
EX_cpd00060_m,EX_cpd00060_e0,cpd00060,0.018,met_L_m,,
EX_cpd00064_m,EX_cpd00064_e0,cpd00064,0.1,orn_m,Ornithine,MNXM741175
EX_cpd00065_m,EX_cpd00065_e0,cpd00065,0.008182,trp_L_m,,
EX_cpd00066_m,EX_cpd00066_e0,cpd00066,0.1,phe_L_m,,
EX_cpd00067_m,EX_cpd00067_e0,cpd00067,0.1,h_m,H+,MNXM1
EX_cpd00069_m,EX_cpd00069_e0,cpd00069,0.1,tyr_L_m,,
EX_cpd00075_m,EX_cpd00075_e0,cpd00075,0.1,no2_m,Nitrite,MNXM107
EX_cpd00076_m,EX_cpd00076_e0,cpd00076,0.0074493,sucr_m,Sucrose,MNXM1104180
EX_cpd00080_m,EX_cpd00080_e0,cpd00080,0.1,glyc3p_m,Glycerol 3-phosphate,MNXM66
EX_cpd00084_m,EX_cpd00084_e0,cpd00084,0.1,cys_L_m,,
EX_cpd00092_m,EX_cpd00092_e0,cpd00092,0.1,ura_m,Uracil,MNXM158
EX_cpd00094_m,EX_cpd00094_e0,cpd00094,0.1,2obut_m,2-Oxobutanoate,MNXM159
EX_cpd00098_m,EX_cpd00098_e0,cpd00098,0.1,chol_m,Choline,MNXM90
EX_cpd00099_m,EX_cpd00099_e0,cpd00099,0.1,cl_m,Chloride,MNXM735978
EX_cpd00100_m,EX_cpd00100_e0,cpd00100,0.1799655,glyc_m,Glycerol,MNXM89612
EX_cpd00104_m,EX_cpd00104_e0,cpd00104,0.1,btn_m,Biotin,MNXM304
EX_cpd00105_m,EX_cpd00105_e0,cpd00105,1.79E-02,rib_D_m,,
EX_cpd00106_m,EX_cpd00106_e0,cpd00106,0.1,fum_m,Fumarate,MNXM737340
EX_cpd00107_m,EX_cpd00107_e0,cpd00107,0.015,leu_L_m,,
EX_cpd00111_m,EX_cpd00111_e0,cpd00111,0.1,gthox_m,Oxidized glutathione,MNXM729383
EX_cpd00116_m,EX_cpd00116_e0,cpd00116,10,meoh_m,Methanol,MNXM729800
EX_cpd00117_m,EX_cpd00117_e0,cpd00117,0.1,ala_D_m,,
EX_cpd00118_m,EX_cpd00118_e0,cpd00118,0.1,ptrc_m,Putrescine,MNXM118
EX_cpd00119_m,EX_cpd00119_e0,cpd00119,0.015,his_L_m,,
EX_cpd00122_m,EX_cpd00122_e0,cpd00122,0.1,acgam_m,N-Acetyl-D-glucosamine,MNXM1105935
EX_cpd00128_m,EX_cpd00128_e0,cpd00128,0.1,ade_m,Adenine,MNXM168
EX_cpd00129_m,EX_cpd00129_e0,cpd00129,0.018,pro_L_m,,
EX_cpd00132_m,EX_cpd00132_e0,cpd00132,0.0225,asn_L_m,,
EX_cpd00133_m,EX_cpd00133_e0,cpd00133,0.1,ncam_m,Nicotinamide,MNXM216
EX_cpd00136_m,EX_cpd00136_e0,cpd00136,0.1,4hbz_m,4-Hydroxybenzoate,MNXM164
EX_cpd00137_m,EX_cpd00137_e0,cpd00137,0.1,cit_m,Citrate,MNXM1107753
EX_cpd00138_m,EX_cpd00138_e0,cpd00138,0.0148986,man_m,D-Mannose,MNXM1105842
EX_cpd00149_m,EX_cpd00149_e0,cpd00149,0.1,cobalt2_m,Co2+,MNXM90960
EX_cpd00154_m,EX_cpd00154_e0,cpd00154,0.0178783,xyl_D_m,,
EX_cpd00156_m,EX_cpd00156_e0,cpd00156,0.018,val_L_m,,
EX_cpd00158_m,EX_cpd00158_e0,cpd00158,0.074493,cellb_m,Cellobiose,MNXM726888
EX_cpd00160_m,EX_cpd00160_e0,cpd00160,0.0004958,chsterol_m,Chsterol c,MNXM726122
